TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,UnManned,Level,Flag
109,1,48.0136559,-102.9887477,999,-1,1,-1,true,1,-1
110,1,48.0136559,-102.9885064,999,-1,1,-1,true,1,-1
110,1,48.0136559,-102.9885064,999,-1,1,-1,true,1,-1
111,1,48.0136559,-102.9882651,999,-1,1,-1,true,1,-1
111,1,48.0136559,-102.9882651,999,-1,1,-1,true,1,-1
112,1,48.0136559,-102.9880239,999,-1,1,-1,true,1,-1
112,1,48.0136559,-102.9880239,999,-1,1,-1,true,1,-1
113,1,48.0136559,-102.9877826,999,-1,1,-1,true,1,-1
113,1,48.0136559,-102.9877826,999,-1,1,-1,true,1,-1
114,1,48.0136559,-102.9875413,999,-1,1,-1,true,1,-1
114,1,48.0136559,-102.9875413,999,-1,1,-1,true,1,-1
115,1,48.0136559,-102.9873001,999,-1,1,-1,true,1,-1
115,1,48.0136559,-102.9873001,999,-1,1,-1,true,1,-1
116,1,48.0136559,-102.9870588,999,-1,1,-1,true,1,-1
116,1,48.0136559,-102.9870588,999,-1,1,-1,true,1,-1
117,1,48.0136559,-102.9868175,999,-1,1,-1,true,1,-1
117,1,48.0136559,-102.9868175,999,-1,1,-1,true,1,-1
118,1,48.0136559,-102.9865763,999,-1,1,-1,true,1,-1
118,1,48.0136559,-102.9865763,999,-1,1,-1,true,1,-1
119,1,48.0136559,-102.986335,999,-1,1,-1,true,1,-1
119,1,48.0136559,-102.986335,999,-1,1,-1,true,1,-1
120,1,48.0136559,-102.9860937,999,-1,1,-1,true,1,-1
120,1,48.0136559,-102.9860937,999,-1,1,-1,true,1,-1
121,1,48.0136559,-102.9858525,999,-1,1,-1,true,1,-1
121,1,48.0136559,-102.9858525,999,-1,1,-1,true,1,-1
122,1,48.0136559,-102.9856112,999,-1,1,-1,true,1,-1
122,1,48.0136559,-102.9856112,999,-1,1,-1,true,1,-1
123,1,48.0136559,-102.9853699,999,-1,1,-1,true,1,-1
123,1,48.0136559,-102.9853699,999,-1,1,-1,true,1,-1
124,1,48.0136559,-102.9851286,999,-1,1,-1,true,1,-1
124,1,48.0136559,-102.9851286,999,-1,1,-1,true,1,-1
125,1,48.0136559,-102.9848874,999,-1,1,-1,true,1,-1
125,1,48.0136559,-102.9848874,999,-1,1,-1,true,1,-1
126,1,48.0136559,-102.9846461,999,-1,1,-1,true,1,-1
126,1,48.0136559,-102.9846461,999,-1,1,-1,true,1,-1
127,1,48.0136559,-102.9844048,999,-1,1,-1,true,1,-1
127,1,48.0136559,-102.9844048,999,-1,1,-1,true,1,-1
128,1,48.0136559,-102.9841636,999,-1,1,-1,true,1,-1
128,1,48.0136559,-102.9841636,999,-1,1,-1,true,1,-1
129,1,48.0136559,-102.9839223,999,-1,1,-1,true,1,-1
129,1,48.0136559,-102.9839223,999,-1,1,-1,true,1,-1
130,1,48.0136559,-102.983681,999,-1,1,-1,true,1,-1
130,1,48.0136559,-102.983681,999,-1,1,-1,true,1,-1
131,1,48.0136559,-102.9834398,999,-1,1,-1,true,1,-1
131,1,48.0136559,-102.9834398,999,-1,1,-1,true,1,-1
132,1,48.0136559,-102.9831985,999,-1,1,-1,true,1,-1
132,1,48.0136559,-102.9831985,999,-1,1,-1,true,1,-1
133,1,48.0136559,-102.9829572,999,-1,1,-1,true,1,-1
133,1,48.0136559,-102.9829572,999,-1,1,-1,true,1,-1
134,1,48.0136559,-102.982716,999,-1,1,-1,true,1,-1
134,1,48.0136559,-102.982716,999,-1,1,-1,true,1,-1
135,1,48.0136559,-102.9824747,999,-1,1,-1,true,1,-1
135,1,48.0136559,-102.9824747,999,-1,1,-1,true,1,-1
136,1,48.0136559,-102.9822334,999,-1,1,-1,true,1,-1
136,1,48.0136559,-102.9822334,999,-1,1,-1,true,1,-1
137,1,48.0136559,-102.9819922,999,-1,1,-1,true,1,-1
137,1,48.0136559,-102.9819922,999,-1,1,-1,true,1,-1
138,1,48.0136559,-102.9817509,999,-1,1,-1,true,1,-1
138,1,48.0136559,-102.9817509,999,-1,1,-1,true,1,-1
139,1,48.0136559,-102.9815096,999,-1,1,-1,true,1,-1
139,1,48.0136559,-102.9815096,999,-1,1,-1,true,1,-1
140,1,48.0136559,-102.9812684,999,-1,1,-1,true,1,-1
140,1,48.0136559,-102.9812684,999,-1,1,-1,true,1,-1
141,1,48.0136559,-102.9810271,999,-1,1,-1,true,1,-1
141,1,48.0136559,-102.9810271,999,-1,1,-1,true,1,-1
142,1,48.0136559,-102.9807858,999,-1,1,-1,true,1,-1
142,1,48.0136559,-102.9807858,999,-1,1,-1,true,1,-1
143,1,48.0136559,-102.9805445,999,-1,1,-1,true,1,-1
143,1,48.0136559,-102.9805445,999,-1,1,-1,true,1,-1
144,1,48.0136559,-102.9803033,999,-1,1,-1,true,1,-1
144,1,48.0136559,-102.9803033,999,-1,1,-1,true,1,-1
145,1,48.0136559,-102.980062,999,-1,1,-1,true,1,-1
145,1,48.0136559,-102.980062,999,-1,1,-1,true,1,-1
146,1,48.0136559,-102.9798207,999,-1,1,-1,true,1,-1
146,1,48.0136559,-102.9798207,999,-1,1,-1,true,1,-1
147,1,48.0136559,-102.9795795,999,-1,1,-1,true,1,-1
147,1,48.0136559,-102.9795795,999,-1,1,-1,true,1,-1
148,1,48.0136559,-102.9793382,999,-1,1,-1,true,1,-1
148,1,48.0136559,-102.9793382,999,-1,1,-1,true,1,-1
149,1,48.0136559,-102.9790969,999,-1,1,-1,true,1,-1
149,1,48.0136559,-102.9790969,999,-1,1,-1,true,1,-1
150,1,48.0136559,-102.9788557,999,-1,1,-1,true,1,-1
150,1,48.0136559,-102.9788557,999,-1,1,-1,true,1,-1
151,1,48.0136559,-102.9786144,999,-1,1,-1,true,1,-1
151,1,48.0136559,-102.9786144,999,-1,1,-1,true,1,-1
152,1,48.0136559,-102.9783731,999,-1,1,-1,true,1,-1
152,1,48.0136559,-102.9783731,999,-1,1,-1,true,1,-1
153,1,48.0136559,-102.9781319,999,-1,1,-1,true,1,-1
153,1,48.0136559,-102.9781319,999,-1,1,-1,true,1,-1
154,1,48.0136559,-102.9778906,999,-1,1,-1,true,1,-1
154,1,48.0136559,-102.9778906,999,-1,1,-1,true,1,-1
155,1,48.0136559,-102.9776493,999,-1,1,-1,true,1,-1
155,1,48.0136559,-102.9776493,999,-1,1,-1,true,1,-1
156,1,48.0136559,-102.9774081,999,-1,1,-1,true,1,-1
156,1,48.0136559,-102.9774081,999,-1,1,-1,true,1,-1
157,1,48.0136559,-102.9771668,999,-1,1,-1,true,1,-1
157,1,48.0136559,-102.9771668,999,-1,1,-1,true,1,-1
158,1,48.0136559,-102.9769255,999,-1,1,-1,true,1,-1
158,1,48.0136559,-102.9769255,999,-1,1,-1,true,1,-1
159,1,48.0136559,-102.9766842,999,-1,1,-1,true,1,-1
159,1,48.0136559,-102.9766842,999,-1,1,-1,true,1,-1
160,1,48.0136559,-102.976443,999,-1,1,-1,true,1,-1
160,1,48.0136559,-102.976443,999,-1,1,-1,true,1,-1
161,1,48.0136559,-102.9762017,999,-1,1,-1,true,1,-1
161,1,48.0136559,-102.9762017,999,-1,1,-1,true,1,-1
162,1,48.0136559,-102.9759604,999,-1,1,-1,true,1,-1
162,1,48.0136559,-102.9759604,999,-1,1,-1,true,1,-1
163,1,48.0136559,-102.9757192,999,-1,1,-1,true,1,-1
163,1,48.0136559,-102.9757192,999,-1,1,-1,true,1,-1
164,1,48.0136559,-102.9754779,999,-1,1,-1,true,1,-1
164,1,48.0136559,-102.9754779,999,-1,1,-1,true,1,-1
165,1,48.0136559,-102.9752366,999,-1,1,-1,true,1,-1
165,1,48.0136559,-102.9752366,999,-1,1,-1,true,1,-1
166,1,48.0136559,-102.9749954,999,-1,1,-1,true,1,-1
166,1,48.0136559,-102.9749954,999,-1,1,-1,true,1,-1
167,1,48.0136559,-102.9747541,999,-1,1,-1,true,1,-1
167,1,48.0136559,-102.9747541,999,-1,1,-1,true,1,-1
168,1,48.0136559,-102.9745128,999,-1,1,-1,true,1,-1
168,1,48.0136559,-102.9745128,999,-1,1,-1,true,1,-1
169,1,48.0136559,-102.9742716,999,-1,1,-1,true,1,-1
169,1,48.0136559,-102.9742716,999,-1,1,-1,true,1,-1
170,1,48.0136559,-102.9740303,999,-1,1,-1,true,1,-1
170,1,48.0136559,-102.9740303,999,-1,1,-1,true,1,-1
171,1,48.0136559,-102.973789,999,-1,1,-1,true,1,-1
171,1,48.0136559,-102.973789,999,-1,1,-1,true,1,-1
172,1,48.0136559,-102.9735478,999,-1,1,-1,true,1,-1
172,1,48.0136559,-102.9735478,999,-1,1,-1,true,1,-1
173,1,48.0136559,-102.9733065,999,-1,1,-1,true,1,-1
173,1,48.0136559,-102.9733065,999,-1,1,-1,true,1,-1
174,1,48.0136559,-102.9730652,999,-1,1,-1,true,1,-1
174,1,48.0136559,-102.9730652,999,-1,1,-1,true,1,-1
175,1,48.0136559,-102.972824,999,-1,1,-1,true,1,-1
175,1,48.0136559,-102.972824,999,-1,1,-1,true,1,-1
176,1,48.0136559,-102.9725827,999,-1,1,-1,true,1,-1
176,1,48.0136559,-102.9725827,999,-1,1,-1,true,1,-1
177,1,48.0136559,-102.9723414,999,-1,1,-1,true,1,-1
177,1,48.0136559,-102.9723414,999,-1,1,-1,true,1,-1
178,1,48.0136559,-102.9721001,999,-1,1,-1,true,1,-1
178,1,48.0136559,-102.9721001,999,-1,1,-1,true,1,-1
179,1,48.0136559,-102.9718589,999,-1,1,-1,true,1,-1
179,1,48.0136559,-102.9718589,999,-1,1,-1,true,1,-1
180,1,48.0136559,-102.9716176,999,-1,1,-1,true,1,-1
180,1,48.0136559,-102.9716176,999,-1,1,-1,true,1,-1
181,1,48.0136559,-102.9713763,999,-1,1,-1,true,1,-1
181,1,48.0136559,-102.9713763,999,-1,1,-1,true,1,-1
182,1,48.0136559,-102.9711351,999,-1,1,-1,true,1,-1
182,1,48.0136559,-102.9711351,999,-1,1,-1,true,1,-1
183,1,48.0136559,-102.9708938,999,-1,1,-1,true,1,-1
183,1,48.0136559,-102.9708938,999,-1,1,-1,true,1,-1
184,1,48.0136559,-102.9706525,999,-1,1,-1,true,1,-1
184,1,48.0136559,-102.9706525,999,-1,1,-1,true,1,-1
185,1,48.0136559,-102.9704113,999,-1,1,-1,true,1,-1
185,1,48.0136559,-102.9704113,999,-1,1,-1,true,1,-1
186,1,48.0136559,-102.97017,999,-1,1,-1,true,1,-1
186,1,48.0136559,-102.97017,999,-1,1,-1,true,1,-1
187,1,48.0136559,-102.9699287,999,-1,1,-1,true,1,-1
187,1,48.0136559,-102.9699287,999,-1,1,-1,true,1,-1
188,1,48.0136559,-102.9696875,999,-1,1,-1,true,1,-1
188,1,48.0136559,-102.9696875,999,-1,1,-1,true,1,-1
189,1,48.0136559,-102.9694462,999,-1,1,-1,true,1,-1
189,1,48.0136559,-102.9694462,999,-1,1,-1,true,1,-1
190,1,48.0136559,-102.9692049,999,-1,1,-1,true,1,-1
190,1,48.0136559,-102.9692049,999,-1,1,-1,true,1,-1
191,1,48.0136559,-102.9689637,999,-1,1,-1,true,1,-1
191,1,48.0136559,-102.9689637,999,-1,1,-1,true,1,-1
192,1,48.0136559,-102.9687224,999,-1,1,-1,true,1,-1
192,1,48.0136559,-102.9687224,999,-1,1,-1,true,1,-1
193,1,48.0136559,-102.9684811,999,-1,1,-1,true,1,-1
193,1,48.0136559,-102.9684811,999,-1,1,-1,true,1,-1
194,1,48.0136559,-102.9682398,999,-1,1,-1,true,1,-1
194,1,48.0136559,-102.9682398,999,-1,1,-1,true,1,-1
195,1,48.0136559,-102.9679986,999,-1,1,-1,true,1,-1
195,1,48.0136559,-102.9679986,999,-1,1,-1,true,1,-1
196,1,48.0136559,-102.9677573,999,-1,1,-1,true,1,-1
196,1,48.0136559,-102.9677573,999,-1,1,-1,true,1,-1
197,1,48.0136559,-102.967516,999,-1,1,-1,true,1,-1
197,1,48.0136559,-102.967516,999,-1,1,-1,true,1,-1
198,1,48.0136559,-102.9672748,999,-1,1,-1,true,1,-1
198,1,48.0136559,-102.9672748,999,-1,1,-1,true,1,-1
199,1,48.0136559,-102.9670335,999,-1,1,-1,true,1,-1
199,1,48.0136559,-102.9670335,999,-1,1,-1,true,1,-1
200,1,48.0136559,-102.9667922,999,-1,1,-1,true,1,-1
200,1,48.0136559,-102.9667922,999,-1,1,-1,true,1,-1
201,1,48.0136559,-102.966551,999,-1,1,-1,true,1,-1
201,1,48.0136559,-102.966551,999,-1,1,-1,true,1,-1
202,1,48.0136559,-102.9663097,999,-1,1,-1,true,1,-1
202,1,48.0136559,-102.9663097,999,-1,1,-1,true,1,-1
203,1,48.0136559,-102.9660684,999,-1,1,-1,true,1,-1
203,1,48.0136559,-102.9660684,999,-1,1,-1,true,1,-1
204,1,48.0136559,-102.9658272,999,-1,1,-1,true,1,-1
204,1,48.0136559,-102.9658272,999,-1,1,-1,true,1,-1
205,1,48.0136559,-102.9655859,999,-1,1,-1,true,1,-1
205,1,48.0136559,-102.9655859,999,-1,1,-1,true,1,-1
206,1,48.0136559,-102.9653446,999,-1,1,-1,true,1,-1
206,1,48.0136559,-102.9653446,999,-1,1,-1,true,1,-1
207,1,48.0136559,-102.9651034,999,-1,1,-1,true,1,-1
207,1,48.0136559,-102.9651034,999,-1,1,-1,true,1,-1
208,1,48.0136559,-102.9648621,999,-1,1,-1,true,1,-1
208,1,48.0136559,-102.9648621,999,-1,1,-1,true,1,-1
